cwe_id,name,type,score,relationship_count
322,Key Exchange without Entity Authentication,base,5.031000000000001,0
201,Insertion of Sensitive Information Into Sent Data,base,5.031000000000001,0
476,NULL Pointer Dereference,base,4.329000000000001,0
941,Incorrectly Specified Destination in a Communication Channel,base,4.329000000000001,0
416,Use After Free,variant,3.7507200000000003,0
178,Improper Handling of Case Sensitivity,base,3.6399999999999997,0
295,Improper Certificate Validation,base,3.6399999999999997,0
202,Exposure of Sensitive Information Through Data Queries,base,3.6399999999999997,0
1289,Improper Validation of Unsafe Equivalence in Input,base,3.6399999999999997,0
209,Generation of Error Message Containing Sensitive Information,base,3.6399999999999997,0
